File,Accent,VoiceNum,Stim,Text
/Users/leomoore/audiofiles/KO_M_01_s1.wav,KO,01,1,HE POINTED AT THE CENTS
/Users/leomoore/audiofiles/KO_M_01_s11.wav,KO,01,11,DAD READ ABOUT THE SKY
/Users/leomoore/audiofiles/KO_M_01_s14.wav,KO,01,14,WE TALKED ABOUT THE WATER
/Users/leomoore/audiofiles/KO_M_01_s15.wav,KO,01,15,SHE LOOKED AT THE CLOCK
/Users/leomoore/audiofiles/KO_M_01_s16.wav,KO,01,16,HE POINTED AT THE ANIMALS
/Users/leomoore/audiofiles/KO_M_01_s18.wav,KO,01,18,DAD POINTED AT THE GRASS
/Users/leomoore/audiofiles/KO_M_01_s2.wav,KO,01,2,DAD TALKED ABOUT THE BOMB
/Users/leomoore/audiofiles/KO_M_01_s21.wav,KO,01,21,DAD TALKED ABOUT THE SHEETS
/Users/leomoore/audiofiles/KO_M_01_s22.wav,KO,01,22,MOM THINKS THAT IT IS YELLOW
/Users/leomoore/audiofiles/KO_M_01_s27.wav,KO,01,27,HE LOOKED AT HER WRIST
/Users/leomoore/audiofiles/KO_M_01_s28.wav,KO,01,28,WE READ ABOUT THE COACH
/Users/leomoore/audiofiles/KO_M_01_s3.wav,KO,01,3,MOM POINTED AT HIS FATHER
/Users/leomoore/audiofiles/KO_M_01_s31.wav,KO,01,31,THIS IS HER FAVORITE WEEK
/Users/leomoore/audiofiles/KO_M_01_s35.wav,KO,01,35,MOM LOOKED AT THE JUICE
/Users/leomoore/audiofiles/KO_M_01_s37.wav,KO,01,37,SHE TALKED ABOUT THEIR NECKS
/Users/leomoore/audiofiles/KO_M_01_s39.wav,KO,01,39,SHE TALKED ABOUT THE LEAVES
/Users/leomoore/audiofiles/KO_M_01_s40.wav,KO,01,40,WE LOOKED AT THE STORY
/Users/leomoore/audiofiles/KO_M_01_s41.wav,KO,01,41,THIS IS HER FAVORITE SPORT
/Users/leomoore/audiofiles/KO_M_01_s44.wav,KO,01,44,MOM LOOKED AT HER FEET
/Users/leomoore/audiofiles/KO_M_01_s46.wav,KO,01,46,HE READ ABOUT THE TREES
/Users/leomoore/audiofiles/KO_M_01_s48.wav,KO,01,48,MOM TALKED ABOUT THE PIE
/Users/leomoore/audiofiles/KO_M_01_s5.wav,KO,01,5,WE POINTED AT THE BIRD
/Users/leomoore/audiofiles/KO_M_01_s50.wav,KO,01,50,HE LOOKED AT THE SLEEVES
/Users/leomoore/audiofiles/KO_M_01_s51.wav,KO,01,51,THIS IS HER FAVORITE TIME
/Users/leomoore/audiofiles/KO_M_01_s52.wav,KO,01,52,THERE ARE MANY DAYS
/Users/leomoore/audiofiles/KO_M_01_s55.wav,KO,01,55,HE TALKED ABOUT THE DINNER
/Users/leomoore/audiofiles/KO_M_01_s56.wav,KO,01,56,MOM POINTED AT THE COFFEE
/Users/leomoore/audiofiles/KO_M_01_s58.wav,KO,01,58,SHE THINKS THAT IT IS FAST
/Users/leomoore/audiofiles/KO_M_01_s8.wav,KO,01,8,WE READ ABOUT THE FAMILY
/Users/leomoore/audiofiles/KO_M_01_s9.wav,KO,01,9,SHE POINTED AT HER HEAD
/Users/leomoore/audiofiles/KO_M_02_s1.wav,KO,02,1,HE POINTED AT THE CENTS
/Users/leomoore/audiofiles/KO_M_02_s11.wav,KO,02,11,DAD READ ABOUT THE SKY
/Users/leomoore/audiofiles/KO_M_02_s14.wav,KO,02,14,WE TALKED ABOUT THE WATER
/Users/leomoore/audiofiles/KO_M_02_s15.wav,KO,02,15,SHE LOOKED AT THE CLOCK
/Users/leomoore/audiofiles/KO_M_02_s16.wav,KO,02,16,HE POINTED AT THE ANIMALS
/Users/leomoore/audiofiles/KO_M_02_s18.wav,KO,02,18,DAD POINTED AT THE GRASS
/Users/leomoore/audiofiles/KO_M_02_s2.wav,KO,02,2,DAD TALKED ABOUT THE BOMB
/Users/leomoore/audiofiles/KO_M_02_s21.wav,KO,02,21,DAD TALKED ABOUT THE SHEETS
/Users/leomoore/audiofiles/KO_M_02_s22.wav,KO,02,22,MOM THINKS THAT IT IS YELLOW
/Users/leomoore/audiofiles/KO_M_02_s27.wav,KO,02,27,HE LOOKED AT HER WRIST
/Users/leomoore/audiofiles/KO_M_02_s28.wav,KO,02,28,WE READ ABOUT THE COACH
/Users/leomoore/audiofiles/KO_M_02_s3.wav,KO,02,3,MOM POINTED AT HIS FATHER
/Users/leomoore/audiofiles/KO_M_02_s31.wav,KO,02,31,THIS IS HER FAVORITE WEEK
/Users/leomoore/audiofiles/KO_M_02_s35.wav,KO,02,35,MOM LOOKED AT THE JUICE
/Users/leomoore/audiofiles/KO_M_02_s37.wav,KO,02,37,SHE TALKED ABOUT THEIR NECKS
/Users/leomoore/audiofiles/KO_M_02_s39.wav,KO,02,39,SHE TALKED ABOUT THE LEAVES
/Users/leomoore/audiofiles/KO_M_02_s40.wav,KO,02,40,WE LOOKED AT THE STORY
/Users/leomoore/audiofiles/KO_M_02_s41.wav,KO,02,41,THIS IS HER FAVORITE SPORT
/Users/leomoore/audiofiles/KO_M_02_s44.wav,KO,02,44,MOM LOOKED AT HER FEET
/Users/leomoore/audiofiles/KO_M_02_s46.wav,KO,02,46,HE READ ABOUT THE TREES
/Users/leomoore/audiofiles/KO_M_02_s48.wav,KO,02,48,MOM TALKED ABOUT THE PIE
/Users/leomoore/audiofiles/KO_M_02_s5.wav,KO,02,5,WE POINTED AT THE BIRD
/Users/leomoore/audiofiles/KO_M_02_s50.wav,KO,02,50,HE LOOKED AT THE SLEEVES
/Users/leomoore/audiofiles/KO_M_02_s51.wav,KO,02,51,THIS IS HER FAVORITE TIME
/Users/leomoore/audiofiles/KO_M_02_s52.wav,KO,02,52,THERE ARE MANY DAYS
/Users/leomoore/audiofiles/KO_M_02_s55.wav,KO,02,55,HE TALKED ABOUT THE DINNER
/Users/leomoore/audiofiles/KO_M_02_s56.wav,KO,02,56,MOM POINTED AT THE COFFEE
/Users/leomoore/audiofiles/KO_M_02_s58.wav,KO,02,58,SHE THINKS THAT IT IS FAST
/Users/leomoore/audiofiles/KO_M_02_s8.wav,KO,02,8,WE READ ABOUT THE FAMILY
/Users/leomoore/audiofiles/KO_M_02_s9.wav,KO,02,9,SHE POINTED AT HER HEAD
/Users/leomoore/audiofiles/KO_M_03_s1.wav,KO,03,1,HE POINTED AT THE CENTS
/Users/leomoore/audiofiles/KO_M_03_s11.wav,KO,03,11,DAD READ ABOUT THE SKY
/Users/leomoore/audiofiles/KO_M_03_s14.wav,KO,03,14,WE TALKED ABOUT THE WATER
